                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4525,                 0.6441,                0.91891,                0.88537,                0.86911,                  0.916,                 0.4868,                 1.6236,                0.71588,                0.97056,              0.0010383,              0.0010383,              0.0010383
                     37,                 1.4407,                0.63621,                0.91889,                0.90117,                0.87693,                0.92072,                0.51094,                 1.5978,                0.70346,                0.96639,                0.00101,                0.00101,                0.00101
                     38,                   1.44,                0.63486,                0.91742,                 0.8975,                0.87698,                 0.9148,                0.50007,                 1.5939,                0.70045,                0.96157,             0.00098171,             0.00098171,             0.00098171
                     39,                 1.4313,                0.63145,                0.90509,                0.90576,                0.88388,                0.92519,                0.49933,                 1.5905,                0.71648,                0.96292,             0.00095343,             0.00095343,             0.00095343
                     40,                 1.4394,                  0.629,                0.92202,                0.90507,                0.88265,                0.93011,                0.50432,                  1.607,                0.71786,                0.96333,             0.00092514,             0.00092514,             0.00092514
                     41,                  1.426,                0.62909,                0.91376,                0.88839,                0.87031,                0.91386,                0.49489,                 1.6154,                0.71169,                0.96687,             0.00089686,             0.00089686,             0.00089686
                     42,                 1.4068,                0.61613,                0.91766,                0.89021,                0.88004,                0.92011,                0.49381,                 1.6053,                0.71336,                 0.9658,             0.00086857,             0.00086857,             0.00086857
                     43,                 1.3948,                0.60962,                0.90312,                0.90031,                0.88649,                0.91827,                  0.497,                  1.606,                0.74356,                0.96377,             0.00084029,             0.00084029,             0.00084029
                     44,                 1.3902,                0.60792,                0.90684,                0.89404,                0.88214,                0.92097,                0.50975,                 1.6067,                0.69921,                0.97069,               0.000812,               0.000812,               0.000812
                     45,                 1.3767,                0.60476,                0.90326,                0.89751,                 0.8755,                0.91942,                0.50208,                 1.6205,                0.74147,                 0.9678,             0.00078371,             0.00078371,             0.00078371
                     46,                 1.3786,                0.60616,                0.90036,                 0.8854,                0.89186,                0.91647,                0.50322,                 1.5708,                0.69637,                 0.9593,             0.00075543,             0.00075543,             0.00075543
                     47,                 1.3641,                0.59024,                0.89809,                0.89852,                0.88188,                0.91717,                0.50405,                 1.5794,                0.68413,                0.96263,             0.00072714,             0.00072714,             0.00072714
                     48,                 1.3838,                0.59071,                 0.9095,                0.90433,                0.88188,                0.91672,                0.49628,                 1.6596,                0.71765,                0.97669,             0.00069886,             0.00069886,             0.00069886
                     49,                 1.3416,                0.57739,                0.89782,                0.91573,                0.87596,                0.92109,                0.50942,                 1.5904,                0.68794,                0.96288,             0.00067057,             0.00067057,             0.00067057
                     50,                 1.3538,                0.57906,                0.89952,                0.91071,                 0.8747,                 0.9141,                0.49727,                 1.6062,                0.69314,                0.96346,             0.00064229,             0.00064229,             0.00064229
                     51,                 1.3362,                0.57146,                0.89576,                 0.9035,                0.88268,                0.92068,                0.51657,                 1.5601,                0.67242,                0.96388,               0.000614,               0.000614,               0.000614
                     52,                 1.3272,                0.56939,                0.89007,                0.89008,                0.89066,                0.92268,                0.51293,                 1.5715,                0.68257,                0.96399,             0.00058571,             0.00058571,             0.00058571
                     53,                 1.3376,                0.57543,                 0.8973,                0.90382,                0.88125,                0.91876,                0.50995,                 1.5872,                0.68145,                0.96664,             0.00055743,             0.00055743,             0.00055743
